Nozare,Objekta nosaukums,ISIL kods,Adrese,LAT,LON,LKS-92 X,LKS-92 Y
Bibliotekas,Kuldigas Makslas un humanitaro zinibu vidusskolas biblioteka,LV-BIB-012770,"Petera iela 5, Kuldiga, Kuldigas nov., LV-3301",56.97091,21.96505,315990,376295
Kulturizglitibas iestades,Kuldigas Makslas un humanitaro zinibu vidusskolas makslas skola,LV-IZGLITIBA-009555,"Petera iela 5, Kuldiga, Kuldigas nov., LV-3301",56.97091,21.96505,315990,376295
Radosas rezidences,Kuldigas Makslinieku rezidence,LV-RADREZ-000012,"Baznicas iela 1, Kuldiga, Kuldigas nov., LV-3301",56.96736,21.97049,315585,376614
Nevalstiskas organizacijas,"Kuldigas novada biedriba ""caupe""",LV-NVO-013178,"Pils iela 5, Kuldiga, Kuldigas nov., LV-3301",56.96821,21.97655,315669,376985
Nevalstiskas organizacijas,"Kuldigas novada biedriba ""Kursas raksti""",LV-NVO-013233,"Vidus iela 24, Kuldiga, Kuldigas nov., LV-3301",56.9743,21.98579,316330,377567
Nevalstiskas organizacijas,"Kuldigas novada biedriba ""Padure""",LV-NVO-013177,"Alejas, Ķimale, Padures pag., Kuldigas nov., LV-3321",57.02235,21.85758,321914,369943
Nevalstiskas organizacijas,"Kuldigas novada biedriba ""Papillon""",LV-NVO-013012,"Baznicas iela 28-2, Kuldiga, Kuldigas nov., LV-3301",56.9705,21.97305,315930,376780
Nevalstiskas organizacijas,"Kuldigas novada biedriba ""Watchman's house""",LV-NVO-012956,"Pils iela 4, Kuldiga, Kuldigas nov., LV-3301",56.96933,21.97642,315794,376981
Nevalstiskas organizacijas,Kuldigas novada biedriba LAIDU LAIPA,LV-NVO-013179,"Gnomiķi, Laidu pag., Kuldigas nov., LV-3317",56.74296,21.87873,290784,370262
Nevalstiskas organizacijas,"Kuldigas novada biedriba MESS ",LV-NVO-013176,"Petera iela 5, Kuldiga, Kuldigas nov., LV-3301",56.97091,21.96505,315990,376295
Nevalstiskas organizacijas,Kuldigas novada K.K.KLUBS,LV-NVO-013004,"Virkas iela 27, Kuldiga, Kuldigas nov., LV-3301",56.9794,21.96249,316940,376168
Makslinieciskie kolektivi,"Kuldigas novada Kuldigas Tehnologiju un turisma tehnikuma jauniesu deju kolektivs ""Kastan's""",LV-KOLEKTIVS-016905,"Liepajas iela 31, Kuldiga, Kuldigas nov., LV-3301",56.96862,21.96476,315736,376270
Nevalstiskas organizacijas,"Kuldigas novada laikmetigas makslas makslinieku grupa ""Asni""",LV-NVO-012508,"Zemenu iela 10, Kuldiga, Kuldigas nov., LV-3301",56.96668,21.94392,315558,374997
EU2015.lv,Kuldigas novada muzejs,LV-EU2015-000093,"Pils iela 5, Kuldiga, Kuldigas nov., LV-3301",56.96821,21.97655,315669,376985
Nevalstiskas organizacijas,Kuldigas novada Nekomercialas kulturas attistibas centrs,LV-NVO-012470,"Vijolisu iela 24, Kuldiga, Kuldigas nov., LV-3301",56.97043,21.9901,315892,377816
Muzeji,"Kuldigas novada pasvaldibas iestade ""Kuldigas novada muzejs""",LV-MUZ-001372,"Pils iela 5, Kuldiga, Kuldigas nov., LV-3301",56.96821,21.97655,315669,376985
